date;x
ene-50;0.377
feb-50;0.246
mar-50;0.311
abr-50;0.104
may-50;-0.016
jun-50;0.235
jul-50;0.137
ago-50;0.191
sep-50;-0.016
oct-50;0.29
nov-50;0.038
dic-50;-0.016
ene-51;-0.158
feb-51;0.366
mar-51;0.607
abr-51;-0.355
may-51;-0.18
jun-51;0.268
jul-51;0.093
ago-51;0.027
sep-51;0.246
oct-51;0.202
nov-51;0.432
dic-51;0.617
ene-52;0.76
feb-52;0.891
mar-52;0.607
abr-52;0.574
may-52;0.005
jun-52;0.475
jul-52;0.202
ago-52;-0.027
sep-52;-0.038
oct-52;0.716
nov-52;0.836
dic-52;0.891
ene-53;0.53
feb-53;0.53
mar-53;0.377
abr-53;-0.235
may-53;-0.585
jun-53;-0.18
jul-53;-0.53
ago-53;-0.464
sep-53;-0.443
oct-53;0.049
nov-53;0.454
dic-53;0.257
ene-54;0.41
feb-54;0.224
mar-54;0.148
abr-54;-0.432
may-54;-0.093
jun-54;-0.268
jul-54;0.158
ago-54;-0.06
sep-54;-0.399
oct-54;0.235
nov-54;0.366
dic-54;0.202
ene-55;0.344
feb-55;-0.038
mar-55;0.29
abr-55;-0.126
may-55;-0.366
jun-55;-0.115
jul-55;-0.301
ago-55;-0.486
sep-55;-0.137
oct-55;0.738
nov-55;0.366
dic-55;0.366
ene-56;0.65
feb-56;0.628
mar-56;0.126
abr-56;0.169
may-56;0.137
jun-56;-0.257
jul-56;0.169
ago-56;-0.093
sep-56;0.475
oct-56;0.639
nov-56;0.596
dic-56;0.749
ene-57;0.191
feb-57;1
mar-57;0.486
abr-57;0.41
may-57;0.158
jun-57;0.126
jul-57;0.06
ago-57;0.246
sep-57;0.738
oct-57;0.803
nov-57;0.421
dic-57;0.617
ene-58;0.705
feb-58;0.639
mar-58;0.454
abr-58;0.311
may-58;0.355
jun-58;-0.158
jul-58;-0.038
ago-58;0.115
sep-58;0.137
oct-58;0.257
nov-58;0.115
dic-58;0.038
ene-59;0.082
feb-59;0.148
mar-59;0.06
abr-59;-0.191
may-59;-0.607
jun-59;-0.585
jul-59;-0.268
ago-59;-0.093
sep-59;-0.093
oct-59;0.257
nov-59;-0.005
dic-59;0.224
ene-60;0.169
feb-60;0.432
mar-60;0.202
abr-60;-0.366
may-60;-0.661
jun-60;0.093
jul-60;-0.716
ago-60;0.148
sep-60;-0.093
oct-60;0.279
nov-60;0.432
dic-60;-0.104
ene-61;0.607
feb-61;0.18
mar-61;0.071
abr-61;0.246
may-61;-0.432
jun-61;0.06
jul-61;-0.388
ago-61;0.202
sep-61;-0.104
oct-61;0.191
nov-61;0.475
dic-61;0.552
ene-62;0.169
feb-62;0.333
mar-62;-0.005
abr-62;-0.038
may-62;-0.126
jun-62;-0.443
jul-62;-0.016
ago-62;0.027
sep-62;0.333
oct-62;0.355
nov-62;0.344
dic-62;0.115
ene-63;0.311
feb-63;0.596
mar-63;0.005
abr-63;0.388
may-63;-0.5080001
jun-63;-0.552
jul-63;-0.858
ago-63;-0.596
sep-63;0.06
oct-63;0.071
nov-63;0.224
dic-63;0.279
ene-64;0.322
feb-64;0.18
mar-64;0.126
abr-64;0.082
may-64;0.126
jun-64;-0.213
jul-64;-0.235
ago-64;0.169
sep-64;0.388
oct-64;0.519
nov-64;0.126
dic-64;0.41
ene-65;0.738
feb-65;0.443
mar-65;0.596
abr-65;-0.137
may-65;-0.486
jun-65;-0.377
jul-65;0.268
ago-65;-0.169
sep-65;-0.213
oct-65;-0.191
nov-65;0.377
dic-65;0.126
ene-66;0.311
feb-66;0.388
mar-66;0.388
abr-66;0.18
may-66;-0.333
jun-66;0.049
jul-66;-0.082
ago-66;0.191
sep-66;0.399
oct-66;0.093
nov-66;0.005
dic-66;0.366
ene-67;0.333
feb-67;0.377
mar-67;0.071
abr-67;-0.158
may-67;-0.541
jun-67;-0.683
jul-67;-0.683
ago-67;-0.344
sep-67;-0.301
oct-67;0.202
nov-67;-0.126
dic-67;0.082
ene-68;0.115
feb-68;0.464
mar-68;0.104
abr-68;-0.18
may-68;-0.672
jun-68;0.104
jul-68;-0.486
ago-68;0.093
sep-68;0.279
oct-68;0.104
nov-68;0.18
dic-68;0.475
ene-69;0.53
feb-69;0.661
mar-69;0.355
abr-69;-0.344
