"date","Y"
1950,0.377
1950.08333333333,0.246
1950.16666666667,0.311
1950.25,0.104
1950.33333333333,-0.016
1950.41666666667,0.235
1950.5,0.137
1950.58333333333,0.191
1950.66666666667,-0.016
1950.75,0.29
1950.83333333333,0.038
1950.91666666667,-0.016
1951,-0.158
1951.08333333333,0.366
1951.16666666667,0.607
1951.25,-0.355
1951.33333333333,-0.18
1951.41666666667,0.268
1951.5,0.093
1951.58333333333,0.027
1951.66666666667,0.246
1951.75,0.202
1951.83333333333,0.432
1951.91666666667,0.617
1952,0.76
1952.08333333333,0.891
1952.16666666667,0.607
1952.25,0.574
1952.33333333333,0.005
1952.41666666667,0.475
1952.5,0.202
1952.58333333333,-0.027
1952.66666666667,-0.038
1952.75,0.716
1952.83333333333,0.836
1952.91666666667,0.891
1953,0.53
1953.08333333333,0.53
1953.16666666667,0.377
1953.25,-0.235
1953.33333333333,-0.585
1953.41666666667,-0.18
1953.5,-0.53
1953.58333333333,-0.464
1953.66666666667,-0.443
1953.75,0.049
1953.83333333333,0.454
1953.91666666667,0.257
1954,0.41
1954.08333333333,0.224
1954.16666666667,0.148
1954.25,-0.432
1954.33333333333,-0.093
1954.41666666667,-0.268
1954.5,0.158
1954.58333333333,-0.06
1954.66666666667,-0.399
1954.75,0.235
1954.83333333333,0.366
1954.91666666667,0.202
1955,0.344
1955.08333333333,-0.038
1955.16666666667,0.29
1955.25,-0.126
1955.33333333333,-0.366
1955.41666666667,-0.115
1955.5,-0.301
1955.58333333333,-0.486
1955.66666666667,-0.137
1955.75,0.738
1955.83333333333,0.366
1955.91666666667,0.366
1956,0.65
1956.08333333333,0.628
1956.16666666667,0.126
1956.25,0.169
1956.33333333333,0.137
1956.41666666667,-0.257
1956.5,0.169
1956.58333333333,-0.093
1956.66666666667,0.475
1956.75,0.639
1956.83333333333,0.596
1956.91666666667,0.749
1957,0.191
1957.08333333333,1
1957.16666666667,0.486
1957.25,0.41
1957.33333333333,0.158
1957.41666666667,0.126
1957.5,0.06
1957.58333333333,0.246
1957.66666666667,0.738
1957.75,0.803
1957.83333333333,0.421
1957.91666666667,0.617
1958,0.705
1958.08333333333,0.639
1958.16666666667,0.454
1958.25,0.311
1958.33333333333,0.355
1958.41666666667,-0.158
1958.5,-0.038
1958.58333333333,0.115
1958.66666666667,0.137
1958.75,0.257
1958.83333333333,0.115
1958.91666666667,0.038
1959,0.082
1959.08333333333,0.148
1959.16666666667,0.06
1959.25,-0.191
1959.33333333333,-0.607
1959.41666666667,-0.585
1959.5,-0.268
1959.58333333333,-0.093
1959.66666666667,-0.093
1959.75,0.257
1959.83333333333,-0.005
1959.91666666667,0.224
1960,0.169
1960.08333333333,0.432
1960.16666666667,0.202
1960.25,-0.366
1960.33333333333,-0.661
1960.41666666667,0.093
1960.5,-0.716
1960.58333333333,0.148
1960.66666666667,-0.093
1960.75,0.279
1960.83333333333,0.432
1960.91666666667,-0.104
1961,0.607
1961.08333333333,0.18
1961.16666666667,0.071
1961.25,0.246
1961.33333333333,-0.432
1961.41666666667,0.06
1961.5,-0.388
1961.58333333333,0.202
1961.66666666667,-0.104
1961.75,0.191
1961.83333333333,0.475
1961.91666666667,0.552
1962,0.169
1962.08333333333,0.333
1962.16666666667,-0.005
1962.25,-0.038
1962.33333333333,-0.126
1962.41666666667,-0.443
1962.5,-0.016
1962.58333333333,0.027
1962.66666666667,0.333
1962.75,0.355
1962.83333333333,0.344
1962.91666666667,0.115
1963,0.311
1963.08333333333,0.596
1963.16666666667,0.005
1963.25,0.388
1963.33333333333,-0.5080001
1963.41666666667,-0.552
1963.5,-0.858
1963.58333333333,-0.596
1963.66666666667,0.06
1963.75,0.071
1963.83333333333,0.224
1963.91666666667,0.279
1964,0.322
1964.08333333333,0.18
1964.16666666667,0.126
1964.25,0.082
1964.33333333333,0.126
1964.41666666667,-0.213
1964.5,-0.235
1964.58333333333,0.169
1964.66666666667,0.388
1964.75,0.519
1964.83333333333,0.126
1964.91666666667,0.41
1965,0.738
1965.08333333333,0.443
1965.16666666667,0.596
1965.25,-0.137
1965.33333333333,-0.486
1965.41666666667,-0.377
1965.5,0.268
1965.58333333333,-0.169
1965.66666666667,-0.213
1965.75,-0.191
1965.83333333333,0.377
1965.91666666667,0.126
1966,0.311
1966.08333333333,0.388
1966.16666666667,0.388
1966.25,0.18
1966.33333333333,-0.333
1966.41666666667,0.049
1966.5,-0.082
1966.58333333333,0.191
1966.66666666667,0.399
1966.75,0.093
1966.83333333333,0.005
1966.91666666667,0.366
1967,0.333
1967.08333333333,0.377
1967.16666666667,0.071
1967.25,-0.158
1967.33333333333,-0.541
1967.41666666667,-0.683
1967.5,-0.683
1967.58333333333,-0.344
1967.66666666667,-0.301
1967.75,0.202
1967.83333333333,-0.126
1967.91666666667,0.082
1968,0.115
1968.08333333333,0.464
1968.16666666667,0.104
1968.25,-0.18
1968.33333333333,-0.672
1968.41666666667,0.104
1968.5,-0.486
1968.58333333333,0.093
1968.66666666667,0.279
1968.75,0.104
1968.83333333333,0.18
1968.91666666667,0.475
1969,0.53
1969.08333333333,0.661
1969.16666666667,0.355
1969.25,-0.344
1969.33333333333,-0.038
1969.41666666667,0.235
1969.5,0.486
1969.58333333333,0.169
1969.66666666667,0.333
1969.75,0.137
1969.83333333333,0.169
1969.91666666667,0.333
1970,0.705
1970.08333333333,0.377
1970.16666666667,0.585
1970.25,-0.126
1970.33333333333,-0.213
1970.41666666667,0.148
1970.5,-0.126
1970.58333333333,-0.344
1970.66666666667,-0.5080001
1970.75,0.279
1970.83333333333,0.082
1970.91666666667,0.355
1971,0.082
1971.08333333333,0.574
1971.16666666667,0.355
1971.25,-0.257
1971.33333333333,-0.377
1971.41666666667,-0.344
1971.5,-0.65
1971.58333333333,-0.093
1971.66666666667,-0.137
1971.75,0.115
1971.83333333333,0.705
1971.91666666667,0.399
1972,0.366
1972.08333333333,0.366
1972.16666666667,0.038
1972.25,-0.268
1972.33333333333,0.322
1972.41666666667,0.082
1972.5,0.082
1972.58333333333,0.06
1972.66666666667,0.268
1972.75,0.421
1972.83333333333,0.77
1972.91666666667,0.803
1973,0.661
1973.08333333333,0.716
1973.16666666667,0.628
1973.25,0.191
1973.33333333333,0.53
1973.41666666667,0.18
1973.5,-0.464
1973.58333333333,0.279
1973.66666666667,0.355
1973.75,0.202
1973.83333333333,0.552
1973.91666666667,0.617
1974,0.104
1974.08333333333,0.224
1974.16666666667,0.432
1974.25,-0.213
1974.33333333333,-0.967
1974.41666666667,-1
1974.5,-0.432
1974.58333333333,-0.683
1974.66666666667,-0.5080001
1974.75,-0.137
1974.83333333333,0.082
1974.91666666667,-0.06
1975,0.333
1975.08333333333,0.355
1975.16666666667,0.388
1975.25,-0.06
1975.33333333333,-0.202
1975.41666666667,0.005
1975.5,-0.115
1975.58333333333,0.137
1975.66666666667,0.454
1975.75,0.388
1975.83333333333,0.738
1975.91666666667,0.77
1976,0.803
1976.08333333333,0.836
1976.16666666667,0.65
1976.25,0.005
1976.33333333333,-0.366
1976.41666666667,0.071
1976.5,-0.005
1976.58333333333,-0.454
1976.66666666667,0.191
1976.75,0.432
1976.83333333333,0.683
1976.91666666667,0.388
1977,0.235
1977.08333333333,-0.093
1977.16666666667,0.475
1977.25,-0.082
1977.33333333333,-0.617
1977.41666666667,-0.093
1977.5,-0.071
1977.58333333333,0.432
1977.66666666667,0.421
1977.75,0.497
1977.83333333333,0.454
1977.91666666667,0.596
1978,0.552
1978.08333333333,0.607
1978.16666666667,0.464
1978.25,-0.301
1978.33333333333,-0.77
1978.41666666667,-0.65
1978.5,-0.694
1978.58333333333,-0.137
1978.66666666667,-0.464
1978.75,-0.246
1978.83333333333,0.169
1978.91666666667,-0.202
1979,0.082
1979.08333333333,0.607
1979.16666666667,-0.158
1979.25,-0.454
1979.33333333333,-0.781
1979.41666666667,-0.388
1979.5,0.18
1979.58333333333,0.06
1979.66666666667,-0.5080001
1979.75,-0.268
1979.83333333333,0.224
1979.91666666667,0.115
1980,0.399
1980.08333333333,0.027
1980.16666666667,0.016
1980.25,-0.377
1980.33333333333,-0.18
1980.41666666667,-0.038
1980.5,-0.202
1980.58333333333,0.137
1980.66666666667,0.093
1980.75,-0.279
1980.83333333333,-0.038
1980.91666666667,0.235
1981,0.169
1981.08333333333,0.399
1981.16666666667,0.158
1981.25,-0.541
1981.33333333333,-0.628
1981.41666666667,0.027
1981.5,-0.738
1981.58333333333,-0.913
1981.66666666667,-0.027
1981.75,0.071
1981.83333333333,-0.126
1981.91666666667,0.049
1982,0.454
1982.08333333333,0.301
1982.16666666667,-0.005
1982.25,-0.093
1982.33333333333,-0.224
1982.41666666667,-0.213
1982.5,-0.311
1982.58333333333,-0.235
1982.66666666667,-0.322
1982.75,0.322
1982.83333333333,0.093
1982.91666666667,0.115
1983,0.77
1983.08333333333,0.607
1983.16666666667,-0.158
1983.25,-0.235
1983.33333333333,-0.202
1983.41666666667,-0.333
1983.5,-0.158
1983.58333333333,-0.224
1983.66666666667,-0.355
1983.75,0.005
1983.83333333333,0.454
1983.91666666667,0.41
1984,0.519
1984.08333333333,0.541
1984.16666666667,0.301
1984.25,-0.574
1984.33333333333,-0.344
1984.41666666667,-0.279
1984.5,-0.716
1984.58333333333,-0.869
1984.66666666667,-0.596
1984.75,-0.29
1984.83333333333,-0.454
1984.91666666667,-0.246
1985,-0.607
1985.08333333333,-0.563
1985.16666666667,-0.235
1985.25,-0.246
1985.33333333333,-0.399
1985.41666666667,-0.333
1985.5,-0.53
1985.58333333333,-0.049
1985.66666666667,0.158
1985.75,0.115
1985.83333333333,0.322
1985.91666666667,0.115
1986,0.049
1986.08333333333,0.454
1986.16666666667,0.158
1986.25,-0.421
1986.33333333333,-0.268
1986.41666666667,-0.311
1986.5,-0.115
1986.58333333333,-0.322
1986.66666666667,-0.322
1986.75,0.126
1986.83333333333,0.333
1986.91666666667,0.519
1987,0.399
1987.08333333333,0.519
1987.16666666667,0.432
1987.25,0.355
1987.33333333333,-0.126
1987.41666666667,-0.5080001
1987.5,-0.388
1987.58333333333,0.388
1987.66666666667,0.071
